iter	AUC	Logloss
0	0.8573346906	0.6653792079
1	0.863274681	0.6437002953
2	0.8750991724	0.6211019105
3	0.8832720139	0.6002780648
4	0.8857220392	0.5808119443
5	0.8862757074	0.5622405894
6	0.8914367083	0.5450221435
7	0.8924645669	0.5300962393
8	0.8928817396	0.5159251807
9	0.8937223277	0.5037302252
10	0.8952764818	0.4917566688
11	0.895373576	0.4811412458
12	0.8978272887	0.4695475488
13	0.8985677421	0.4587518111
14	0.8989837019	0.4502885681
15	0.9010967763	0.440093497
16	0.9014911936	0.4306310113
17	0.9022748288	0.422694694
18	0.9031323823	0.4150090093
19	0.9042508053	0.4077957369
20	0.904832861	0.4016446904
21	0.9048967036	0.3953961116
22	0.9054297797	0.3895422281
23	0.9057947542	0.3840803618
24	0.9065691789	0.3780808227
25	0.9066405419	0.3729576922
26	0.9067294324	0.3692144199
27	0.9068673228	0.3652529882
28	0.9070586244	0.3612416859
29	0.9072697782	0.3579281881
30	0.9077363106	0.3546221261
31	0.9081170942	0.3516698897
32	0.9085836105	0.3480097855
33	0.9089623806	0.3452758144
34	0.9093809118	0.3420988288
35	0.9098318293	0.3387482911
36	0.9100568595	0.3359541895
37	0.9102986853	0.3332039563
38	0.9104893075	0.3311784646
39	0.9107596866	0.3289123282
40	0.9113778403	0.3268742598
41	0.9113850049	0.32470066
42	0.9116935521	0.3232983016
43	0.9118133531	0.3214581337
44	0.9119400195	0.3197576815
45	0.9119433511	0.3182410772
46	0.9123999292	0.3164793463
47	0.912959731	0.3141243797
48	0.9138606522	0.3120360058
49	0.9140825853	0.3106366473
50	0.9143665092	0.3089159678
51	0.914349285	0.3074361101
52	0.9145327912	0.3062204783
53	0.9147440501	0.3050145604
54	0.9151489394	0.3037713293
55	0.9155919807	0.3023709115
56	0.9160182669	0.3009903578
57	0.9161855192	0.2999057308
58	0.916391053	0.2988446532
59	0.91654172	0.29764013
60	0.9167591246	0.2967361669
61	0.9169196329	0.2954656326
62	0.9173761058	0.2943365214
63	0.9179405573	0.2933480538
64	0.9181959764	0.2925381184
65	0.9184771024	0.2915960068
66	0.918686647	0.2908301321
67	0.9187569022	0.2900049188
68	0.9188919381	0.2893062782
69	0.9192326452	0.2885159113
70	0.9196667428	0.2877285254
71	0.9198695433	0.2869080893
72	0.9201827564	0.2862139238
73	0.9203520304	0.2856170394
74	0.9206205496	0.284905508
75	0.9209242449	0.2843398992
76	0.9212179696	0.2837345293
77	0.921360914	0.2830484156
78	0.9214463718	0.2825820255
79	0.9215610379	0.2818492011
80	0.9218795072	0.2811474579
81	0.9220210284	0.2806839487
82	0.9222336378	0.2799903125
83	0.9225586976	0.2793263484
84	0.9229370067	0.2787403521
85	0.9231886656	0.278310361
86	0.923449446	0.2777022705
87	0.9236783981	0.2770065233
88	0.9238198466	0.2765625737
89	0.924072023	0.2760017008
90	0.9243143502	0.2754527227
91	0.924498762	0.2749511161
92	0.9247657124	0.2744544838
93	0.924883419	0.273894935
94	0.9249770441	0.2734279728
95	0.9252360132	0.272797046
96	0.9252979636	0.2722875983
97	0.925405271	0.2717639997
98	0.9256416465	0.2713419575
