iter	Passed	Remaining
0	82	331358
1	124	249659
2	166	221501
3	206	205910
4	246	196568
5	285	189921
6	326	186044
7	364	182128
8	403	178949
9	442	176581
10	481	174729
11	521	173171
12	561	172322
13	617	175935
14	675	179431
15	721	179659
16	764	179145
17	808	178928
18	848	177833
19	888	176781
20	927	175825
21	968	175033
22	1007	174276
23	1059	175464
24	1103	175524
25	1144	175006
26	1186	174518
27	1229	174417
28	1271	174107
29	1334	176544
30	1386	177557
31	1435	177999
32	1478	177710
33	1520	177330
34	1563	177073
35	1605	176836
36	1648	176526
37	1691	176351
38	1734	176153
39	1778	176026
40	1822	176016
41	1866	175879
42	1908	175668
43	1953	175606
44	1995	175399
45	2040	175395
46	2084	175325
47	2129	175323
48	2174	175303
49	2220	175384
50	2267	175547
51	2313	175675
52	2360	175759
53	2406	175872
54	2453	175947
55	2498	175972
56	2545	176118
57	2591	176153
58	2639	176310
59	2685	176319
60	2733	176480
61	2781	176685
62	2829	176839
63	2879	177086
64	2926	177176
65	2976	177395
66	3040	178453
67	3087	178541
68	3135	178618
69	3183	178706
70	3230	178791
71	3280	178966
72	3332	179250
73	3382	179441
74	3433	179685
75	3483	179860
76	3534	180052
77	3587	180371
78	3639	180649
79	3691	180865
80	3743	181123
81	3796	181401
82	3850	181735
83	3906	182105
84	3959	182377
85	4013	182658
86	4066	182892
87	4120	183171
88	4173	183408
89	4226	183606
90	4280	183883
91	4332	184020
92	4385	184247
93	4438	184449
94	4492	184657
95	4546	184897
96	4600	185109
97	4653	185288
98	4706	185464
99	4761	185679
100	4815	185881
101	4868	186056
102	4921	186194
103	4974	186341
104	5027	186480
105	5082	186699
106	5134	186826
107	5187	186952
108	5239	187048
109	5293	187180
110	5346	187329
111	5399	187450
112	5453	187575
113	5505	187674
114	5557	187763
115	5614	187982
116	5675	188357
117	5736	188721
118	5794	188985
119	5854	189298
120	5911	189513
121	5965	189621
122	6018	189699
123	6070	189738
124	6121	189779
125	6175	189885
126	6229	189981
127	6284	190108
128	6335	190126
129	6387	190149
130	6440	190221
131	6493	190284
132	6546	190351
133	6598	190377
134	6650	190414
135	6704	190491
136	6757	190545
137	6809	190571
138	6860	190566
139	6913	190604
140	6965	190649
141	7019	190715
142	7072	190766
143	7125	190816
144	7178	190840
145	7232	190913
146	7287	191024
147	7337	190977
148	7389	190988
149	7440	190985
150	7493	191009
151	7544	191004
152	7594	190950
153	7648	191021
154	7699	190998
155	7751	191003
156	7804	191036
157	7858	191090
158	7910	191097
159	7963	191115
160	8014	191113
161	8064	191051
162	8113	190996
163	8165	190982
164	8216	190979
165	8266	190936
166	8318	190916
167	8370	190934
168	8422	190924
169	8473	190897
170	8523	190857
171	8576	190881
172	8629	190885
173	8681	190893
174	8734	190910
175	8787	190929
176	8838	190892
177	8888	190860
178	8940	190853
179	8991	190812
180	9044	190828
181	9094	190793
182	9146	190774
183	9196	190730
184	9246	190687
185	9297	190639
186	9348	190615
187	9399	190596
188	9450	190556
189	9504	190595
190	9555	190566
191	9608	190566
192	9658	190517
193	9711	190519
194	9763	190521
195	9814	190488
196	9867	190485
197	9918	190461
198	9968	190401
199	10017	190334
200	10068	190300
201	10118	190247
202	10170	190239
203	10222	190215
204	10274	190202
205	10327	190203
206	10377	190160
207	10429	190141
208	10478	190072
209	10529	190029
210	10580	189992
211	10631	189970
212	10683	189949
213	10735	189923
214	10786	189899
215	10838	189881
216	10889	189840
217	10939	189786
218	10989	189738
219	11041	189721
220	11094	189709
221	11146	189691
222	11197	189652
223	11248	189617
224	11300	189596
225	11352	189581
226	11403	189538
227	11454	189500
228	11503	189432
229	11553	189377
230	11604	189336
231	11654	189280
232	11704	189231
233	11754	189182
234	11805	189140
235	11856	189098
236	11905	189036
237	11956	188988
238	12006	188944
239	12056	188891
240	12107	188854
241	12156	188774
242	12205	188705
243	12257	188690
244	12307	188626
245	12358	188594
246	12410	188564
247	12460	188510
248	12510	188454
249	12559	188394
250	12608	188321
251	12657	188256
252	12708	188215
253	12758	188161
254	12810	188137
255	12859	188070
256	12908	188004
257	12959	187968
258	13009	187911
259	13062	187892
260	13111	187824
261	13160	187758
262	13209	187701
263	13259	187639
264	13310	187599
265	13360	187552
266	13409	187482
267	13459	187427
268	13508	187358
269	13559	187327
270	13609	187265
271	13660	187231
272	13710	187169
273	13760	187120
274	13812	187092
275	13863	187052
276	13912	186992
277	13963	186951
278	14014	186908
279	14062	186829
280	14109	186741
281	14160	186695
282	14211	186656
283	14263	186634
284	14314	186590
285	14365	186554
286	14415	186501
287	14467	186470
288	14517	186416
289	14567	186367
290	14626	186429
291	14680	186427
292	14735	186432
293	14788	186411
294	14840	186381
295	14893	186364
296	14947	186368
297	15000	186346
298	15054	186345
299	15108	186336
300	15160	186308
301	15211	186265
302	15261	186212
303	15310	186143
304	15360	186086
305	15411	186046
306	15461	185994
307	15512	185948
308	15566	185935
309	15616	185890
310	15666	185830
311	15715	185766
312	15764	185699
313	15815	185652
314	15866	185609
315	15916	185556
316	15966	185502
317	16017	185461
318	16067	185401
319	16117	185353
320	16167	185291
321	16218	185253
322	16269	185205
323	16318	185144
324	16366	185071
325	16415	185003
326	16463	184927
327	16514	184880
328	16564	184832
329	16616	184790
330	16667	184754
331	16716	184688
332	16770	184671
333	16824	184662
334	16875	184623
335	16927	184586
336	16976	184528
337	17028	184490
338	17077	184432
339	17128	184385
340	17178	184325
341	17228	184274
342	17277	184209
343	17329	184177
344	17379	184126
345	17429	184066
346	17479	184015
347	17531	183978
348	17580	183918
349	17633	183887
350	17682	183825
351	17733	183786
352	17783	183726
353	17832	183664
354	17881	183595
355	17931	183547
356	17982	183499
357	18032	183452
358	18082	183398
359	18133	183346
360	18182	183286
361	18233	183236
362	18282	183175
363	18332	183127
364	18382	183070
365	18431	183010
366	18483	182966
367	18535	182934
368	18586	182895
369	18636	182842
370	18687	182797
371	18739	182760
372	18787	182683
373	18835	182613
374	18886	182567
375	18935	182510
376	18985	182454
377	19037	182421
378	19086	182353
379	19139	182330
380	19189	182275
381	19240	182226
382	19289	182166
383	19341	182136
384	19391	182074
385	19443	182041
386	19492	181982
387	19540	181908
388	19591	181867
389	19643	181825
390	19692	181766
391	19741	181705
392	19791	181647
393	19840	181587
394	19889	181525
395	19940	181476
396	19989	181416
397	20037	181346
398	20086	181281
399	20136	181228
400	20186	181175
401	20236	181124
402	20286	181067
403	20335	181010
404	20386	180964
405	20438	180927
406	20491	180897
407	20541	180842
408	20591	180788
409	20642	180748
410	20691	180689
411	20741	180635
412	20790	180567
413	20840	180515
414	20891	180469
415	20941	180422
416	20993	180379
417	21043	180328
418	21093	180275
419	21141	180210
420	21191	180150
421	21240	180087
422	21289	180027
423	21338	179971
424	21387	179906
425	21436	179844
426	21487	179800
427	21537	179746
428	21588	179699
429	21637	179641
430	21687	179589
431	21735	179521
432	21785	179462
433	21834	179408
434	21885	179357
435	21936	179315
436	21985	179257
437	22035	179200
438	22087	179163
439	22139	179130
440	22190	179083
441	22240	179033
442	22290	178981
443	22342	178941
444	22393	178895
445	22442	178837
446	22492	178782
447	22541	178721
448	22590	178657
449	22639	178597
450	22690	178551
451	22741	178507
452	22791	178455
453	22840	178396
454	22890	178346
455	22938	178274
456	22989	178229
457	23039	178181
458	23092	178151
459	23141	178091
460	23189	178024
461	23240	177976
462	23292	177936
463	23342	177888
464	23395	177852
465	23446	177810
466	23494	177744
467	23544	177689
468	23594	177636
469	23644	177588
470	23694	177533
471	23742	177463
472	23792	177408
473	23840	177342
474	23890	177296
475	23940	177240
476	23992	177200
477	24041	177140
478	24089	177077
